Adres;X_coordina;Y_coordina;Locatie;Parkeerreg;Lat;Lon;Locatie1
Beatrix de Rijkweg;155673.6772;385204.7469;Active locatie;betaald parkeren;51.4559204564;5.39689219115;51.4559204564,5.39689219115
Charles Roelslaan;161170.9626;379958.389;Active locatie;vrij parkeren;51.4087291606;5.47589375038;51.4087291606,5.47589375038
Daalakkersweg;164367.2761;384118.7282;Active locatie;vrij parkeren;51.4460809524;5.52194427544;51.4460809524,5.52194427544
Dominee Theodor Fliednerstraat;162129.0849;384862.4176;Active locatie;vrij parkeren;51.4527985108;5.48976378486;51.4527985108,5.48976378486
Eschweilerhof;161227.159;387110.529;Active locatie;vrij parkeren;51.4730166893;5.4768277299;51.4730166893,5.4768277299
Esp;162096.293;388682.965;Active locatie;vrij parkeren;51.4871404407;5.48936901266;51.4871404407,5.48936901266
Frans Halsstraat;162868.821;383595.281;Active locatie;vrij parkeren;51.4413988096;5.50037790217;51.4413988096,5.50037790217
Hurksestraat;158530.258;382707.39;Active locatie;vrij parkeren;51.4334618063;5.4379668332;51.4334618063,5.4379668332
Lijsterlaan;162459.7427;383679.8469;Active locatie;vrij parkeren;51.4421645127;5.49449585979;51.4421645127,5.49449585979
Noord Brabantlaan;157462.473;382900.245;Active locatie;vrij parkeren;51.4352010185;5.42261276204;51.4352010185,5.42261276204
Professor dr Dorgelolaan;161736.5488;383982.7627;Active locatie;betaald parkeren;51.4448964381;5.48409966758;51.4448964381,5.48409966758
Tarwelaan;162247.356;387512.447;Active locatie;vrij parkeren;51.4766171592;5.49151983874;51.4766171592,5.49151983874
Torenallee;160126.7437;384045.024;Active locatie;betaald parkeren;51.4454730577;5.46094473325;51.4454730577,5.46094473325
Torenallee;159984.652;384039.289;Active locatie;betaald parkeren;51.4454227854;5.45890074427;51.4454227854,5.45890074427
Vaalserbergweg;159900.538;388147.163;Active locatie;vrij parkeren;51.4823477544;5.45774792818;51.4823477544,5.45774792818
Amazonelaan;162833.174;386035.775;Active locatie;vrij parkeren;51.4633360385;5.49991941083;51.4633360385,5.49991941083
Grasparkiet;156715.335;383339.869;Active locatie;vrij parkeren;51.4391554444;5.41187018302;51.4391554444,5.41187018302
Langenakkerweg;159380.089;383900.538;Active locatie;vrij parkeren;51.4441806345;5.45020274028;51.4441806345,5.45020274028
Biesterweg;161961.935;381920.786;Active locatie;betaald parkeren;51.4263592908;5.48730099141;51.4263592908,5.48730099141
Ukkelstraat;161817.414;387521.679;Active locatie;vrij parkeren;51.4767055196;5.48533131359;51.4767055196,5.48533131359
Julianastraat;160672.11;383101.28;Active locatie;betaald parkeren;51.4369848288;5.46877434814;51.4369848288,5.46877434814
Wilhelminaplein;160805.701;383178.138;Active locatie;vergunningsplichtig parkeren;51.4376743168;5.47069688487;51.4376743168,5.47069688487
Picushof;162315.189;383140.8;Active locatie;betaald parkeren;51.437321104;5.49240551085;51.437321104,5.49240551085
Sint Servaasweg 34;162470.9116;382029.9866;Active locatie;vrij parkeren;51.4273343366;5.49462156816;51.4273343366,5.49462156816
Zaanstraat 21;157670.178;387834.3987;Active locatie;vrij parkeren;51.479551487;5.42563714074;51.479551487,5.42563714074
St Josephlaan 10;163705.9342;383186.4848;Active locatie;vrij parkeren;51.4377119611;5.5124081169;51.4377119611,5.5124081169
Minckerlersplein 11;159991.85;385292.913;Active locatie;vrij parkeren;51.4566911137;5.45902201615;51.4566911137,5.45902201615
Fuutlaan;161881.276;383698.762;Active locatie;betaald parkeren;51.4423419034;5.48617592012;51.4423419034,5.48617592012
Gemmastraat;160390.6651;384544.5324;Active locatie;vrij parkeren;51.4499604985;5.46474872202;51.4499604985,5.46474872202
Looierstraat;161164.4519;384694.9144;Active locatie;vrij parkeren;51.4513042805;5.47588292773;51.4513042805,5.47588292773
